Voo,Origem,Destino,Configuracao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
614,LIS,BRU,128,9/4/2009 14:00,9/4/2009 16:45,15,113,1,87
1633,LIS,FNC,128,9/4/2009 14:15,9/4/2009 16:05,15,113,3,99
1913,LIS,FAO,128,9/4/2009 14:50,9/4/2009 15:35,15,113,2,71
718,LIS,MAD,128,9/4/2009 15:00,9/4/2009 16:15,15,113,4,68
349,LGW,FNC,128,9/4/2009 15:20,9/4/2009 19:15,15,113,3,101
439,ORY,LIS,128,9/4/2009 15:25,9/4/2009 17:45,15,113,5,93
1626,FNC,LIS,128,9/4/2009 15:25,9/4/2009 17:00,15,113,10,113
1580,FNC,OPO,128,9/4/2009 15:50,9/4/2009 17:45,15,113,6,113
743,BCN,LIS,128,9/4/2009 16:05,9/4/2009 18:05,15,113,1,106
752,LIS,BCN,128,9/4/2009 16:05,9/4/2009 17:55,15,113,3,97
1912,FAO,LIS,128,9/4/2009 16:15,9/4/2009 17:00,15,113,13,112
428,LIS,CDG,128,9/4/2009 16:45,9/4/2009 19:20,15,113,8,112
1632,FNC,LIS,128,9/4/2009 16:45,9/4/2009 18:20,15,113,12,113
1755,OPO,PXO,128,9/4/2009 16:45,9/4/2009 18:35,15,113,8,76
719,MAD,LIS,128,9/4/2009 17:00,9/4/2009 18:15,15,113,3,69
843,FCO,LIS,128,9/4/2009 17:00,9/4/2009 20:00,15,113,2,70
615,BRU,LIS,128,9/4/2009 17:30,9/4/2009 20:10,15,113,6,92
458,OPO,ORY,132,9/4/2009 18:30,9/4/2009 20:40,0,132,0,112
741,BCN,LIS,128,9/4/2009 18:40,9/4/2009 20:40,15,113,0,81
618,LIS,BRU,128,9/4/2009 18:45,9/4/2009 21:30,15,113,2,75
724,LIS,MAD,128,9/4/2009 19:05,9/4/2009 20:20,15,113,0,58
740,LIS,BCN,128,9/4/2009 19:05,9/4/2009 20:55,15,113,4,84
207,LIS,DKR,125,9/4/2009 19:15,9/4/2009 23:25,15,110,3,56
1754,PXO,OPO,128,9/4/2009 19:20,9/4/2009 21:05,15,113,5,96
1684,FNC,LIS,132,9/4/2009 20:00,9/4/2009 21:35,0,132,0,124
1739,LIS,PXO,128,9/4/2009 20:20,9/4/2009 22:05,15,113,0,106
1685,LIS,FNC,128,9/4/2009 20:45,9/4/2009 22:35,15,113,3,108
1982,LIS,OPO,128,9/4/2009 20:45,9/4/2009 21:40,15,113,6,72
1581,OPO,FNC,128,9/4/2009 21:25,9/4/2009 23:25,15,113,2,107
1917,LIS,FAO,128,9/4/2009 21:25,9/4/2009 22:10,15,113,1,40
1583,OPO,FNC,128,9/4/2009 22:30,9/5/2009 0:30,15,113,0,84
1740,PXO,LIS,128,9/4/2009 22:50,9/5/2009 0:20,15,113,5,95
1584,FNC,OPO,128,9/4/2009 23:15,9/5/2009 1:10,15,113,1,89
208,DKR,LIS,125,9/5/2009 0:35,9/5/2009 4:40,15,110,6,109
611,BRU,LIS,128,9/5/2009 4:25,9/5/2009 7:05,15,113,10,112
751,BCN,LIS,128,9/5/2009 4:35,9/5/2009 6:35,15,113,0,74
429,CDG,LIS,128,9/5/2009 4:55,9/5/2009 7:25,15,113,0,50
459,ORY,OPO,128,9/5/2009 5:00,9/5/2009 7:05,15,113,1,88
1900,FAO,LIS,128,9/5/2009 5:15,9/5/2009 6:00,15,113,2,91
464,OPO,ORY,128,9/5/2009 6:05,9/5/2009 8:10,15,113,9,105
711,MAD,LIS,128,9/5/2009 6:05,9/5/2009 7:20,15,113,3,46
1572,FNC,OPO,128,9/5/2009 6:05,9/5/2009 8:00,15,113,0,100
604,LIS,BRU,128,9/5/2009 6:15,9/5/2009 9:00,15,113,0,66
424,LIS,CDG,128,9/5/2009 6:20,9/5/2009 8:55,15,113,4,90
1604,FNC,LIS,132,9/5/2009 6:40,9/5/2009 8:15,0,132,0,118
668,LIS,AMS,128,9/5/2009 6:55,9/5/2009 9:45,15,113,5,72
1843,LIS,HOR,128,9/5/2009 7:00,9/5/2009 9:45,15,113,0,68
1573,OPO,FNC,128,9/5/2009 7:50,9/5/2009 9:50,15,113,0,102
712,LIS,MAD,128,9/5/2009 8:05,9/5/2009 9:20,15,113,2,90
746,LIS,BCN,128,9/5/2009 8:05,9/5/2009 9:55,15,113,3,79
1615,LIS,FNC,128,9/5/2009 8:15,9/5/2009 10:05,15,113,2,104
872,LIS,VCE,157,9/5/2009 8:30,9/5/2009 11:30,14,143,11,125
434,LIS,ORY,128,9/5/2009 8:40,9/5/2009 11:05,15,113,15,107
451,ORY,OPO,132,9/5/2009 8:55,9/5/2009 11:00,0,132,0,116
608,LIS,BRU,128,9/5/2009 9:00,9/5/2009 11:45,15,113,5,71
425,CDG,LIS,128,9/5/2009 9:40,9/5/2009 12:20,15,113,2,100
605,BRU,LIS,128,9/5/2009 9:45,9/5/2009 12:35,15,113,15,113
665,AMS,LIS,128,9/5/2009 10:30,9/5/2009 13:35,15,113,1,103
1574,FNC,OPO,128,9/5/2009 10:30,9/5/2009 12:25,15,113,3,109
1844,HOR,LIS,128,9/5/2009 10:35,9/5/2009 13:05,15,113,0,103
745,BCN,LIS,128,9/5/2009 10:40,9/5/2009 12:40,15,113,2,84
348,FNC,LGW,128,9/5/2009 10:45,9/5/2009 14:30,15,113,18,92
714,LIS,MAD,128,9/5/2009 10:50,9/5/2009 12:05,15,113,1,92
713,MAD,LIS,128,9/5/2009 11:00,9/5/2009 12:15,15,113,1,102
1963,OPO,LIS,128,9/5/2009 11:40,9/5/2009 12:35,15,113,15,110
435,ORY,LIS,128,9/5/2009 11:50,9/5/2009 14:15,15,113,0,76
873,VCE,LIS,157,9/5/2009 12:15,9/5/2009 15:25,14,143,7,104
609,BRU,LIS,128,9/5/2009 12:30,9/5/2009 15:20,15,113,9,113
715,MAD,LIS,128,9/5/2009 12:50,9/5/2009 14:05,15,113,3,67
1627,LIS,FNC,128,9/5/2009 13:00,9/5/2009 14:45,15,113,4,109
1577,OPO,FNC,132,9/5/2009 13:10,9/5/2009 15:10,0,132,0,114
660,LIS,AMS,128,9/5/2009 13:20,9/5/2009 16:15,15,113,10,109
842,LIS,FCO,128,9/5/2009 13:20,9/5/2009 16:15,15,113,5,109
804,LIS,MXP,128,9/5/2009 13:50,9/5/2009 16:30,15,113,13,113
614,LIS,BRU,128,9/5/2009 14:00,9/5/2009 16:45,15,113,4,82
